,"American Airlines Group Inc - GJR-GARCH Volatility"
2023-11-06,0.40632262698501054
2023-11-07,0.400742007780567
2023-11-08,0.3972335106709906
2023-11-09,0.3995181898236925
2023-11-10,0.39391605298591226
2023-11-13,0.3884148555346461
2023-11-14,0.39022475523728634
2023-11-15,0.38566511638985446
2023-11-16,0.3862753820786409
2023-11-17,0.38123234647652865
2023-11-20,0.3763790578658701
2023-11-21,0.3796972230606908
2023-11-22,0.37555257687839133
2023-11-24,0.3704548976596207
2023-11-27,0.3674945485309952
2023-11-28,0.36261042069968147
2023-11-29,0.3579605430770269
2023-11-30,0.35466176619421497
2023-12-01,0.3611270507729932
2023-12-04,0.3595851459668489
2023-12-05,0.3599378646377733
2023-12-06,0.35877023455130724
2023-12-07,0.35914027844283913
2023-12-08,0.35661604058146346
2023-12-11,0.3521522625229036
2023-12-12,0.35042464639348647
2023-12-13,0.346028661240655
2023-12-14,0.34811362455382294
2023-12-15,0.34460876599413426
2023-12-18,0.34606496326556957
2023-12-19,0.3418090835539629
2023-12-20,0.3473448971843404
2023-12-21,0.34657362854089174
2023-12-22,0.3423589642465931
2023-12-26,0.34191290996392637
2023-12-27,0.33907941370717276
2023-12-28,0.3349207040479881
2023-12-29,0.3367326262778824
2024-01-02,0.34206768803849336
2024-01-03,0.36352997345473453
2024-01-04,0.3593212651653114
2024-01-05,0.362071147152048
2024-01-08,0.38123875826048953
2024-01-09,0.3793020242498054
2024-01-10,0.37418747333388913
2024-01-11,0.37048142625508235
2024-01-12,0.5125005639021287
2024-01-16,0.5042314468574922
2024-01-17,0.5013118562332234
2024-01-18,0.5093936395362628
2024-01-19,0.5029296133655285
2024-01-22,0.4949580673147979
2024-01-23,0.4898810884286104
2024-01-24,0.48242981997384865
2024-01-25,0.510193198700257
2024-01-26,0.5049009447406492
2024-01-29,0.49886865325454155
2024-01-30,0.5010787842245967
2024-01-31,0.49877206056474327
2024-02-01,0.4910006325861506
2024-02-02,0.48405833615381527
2024-02-05,0.48230838309115054
2024-02-06,0.4820411874518608
2024-02-07,0.47442841145951625
2024-02-08,0.4670149363778422
2024-02-09,0.46005575444721913
2024-02-12,0.45298856012045163
2024-02-13,0.45286562775286887
2024-02-14,0.4470955307314087
2024-02-15,0.44031246405251806
2024-02-16,0.43830315399275876
2024-02-20,0.4317657489889628
2024-02-21,0.42547075011098
2024-02-22,0.4230574514176532
2024-02-23,0.41763015408372994
2024-02-26,0.4119410321878606
2024-02-27,0.4072341002421089
2024-02-28,0.4017958048561483
2024-02-29,0.3969739296225887
2024-03-01,0.3913771301443149
2024-03-04,0.43545699305442326
2024-03-05,0.4302880161008438
2024-03-06,0.42473686819017725
2024-03-07,0.41845561054907604
2024-03-08,0.4158083029474039
2024-03-11,0.4097979223959048
2024-03-12,0.43992268411619784
2024-03-13,0.4333112017938147
2024-03-14,0.42682785054398686
2024-03-15,0.4205609553917244
2024-03-18,0.41487357399574154
2024-03-19,0.41144571598207225
2024-03-20,0.4144552192939546
2024-03-21,0.40932445468112455
2024-03-22,0.40343543126502907
2024-03-25,0.3978625154497468
2024-03-26,0.39221694354017905
2024-03-27,0.3896824384033748
2024-03-28,0.38428675387007555
2024-04-01,0.37904621881770567
2024-04-02,0.4470375568115055
2024-04-03,0.4444000927092613
2024-04-04,0.4458768628220128
2024-04-05,0.43947527848560497
2024-04-08,0.43327162427281113
2024-04-09,0.42683652936458005
2024-04-10,0.4440633603439942
2024-04-11,0.43832730099778183
2024-04-12,0.45000225999432497
2024-04-15,0.4469280989152506
2024-04-16,0.44031812999239545
2024-04-17,0.4505264760255495
2024-04-18,0.44399074449812576
2024-04-19,0.4374207896293911
2024-04-22,0.43446242783467476
2024-04-23,0.4345413043658796
2024-04-24,0.4353664456523952
2024-04-25,0.4297801884684775
2024-04-26,0.4282634194044595
2024-04-29,0.4221138803687934
2024-04-30,0.43387716326167713
2024-05-01,0.42748676190029555
2024-05-02,0.4229338629147588
2024-05-03,0.416695580970089
2024-05-06,0.42438195107709287
2024-05-07,0.4299147924879999
2024-05-08,0.42410912888076346
2024-05-09,0.4179101606804984
2024-05-10,0.41226989363765093
2024-05-13,0.41210390582958567
2024-05-14,0.40745254300347666
2024-05-15,0.4060330779628674
2024-05-16,0.40184970772665746
2024-05-17,0.3963801675159846
