,"US Global Jets ETF - GJR-GARCH Volatility"
2017-05-10,0.1854505368015957
2017-05-11,0.18211935317258296
2017-05-12,0.18302509008329979
2017-05-15,0.18088240710472647
2017-05-16,0.1779164815299583
2017-05-17,0.23457087287214498
2017-05-18,0.22757755601113216
2017-05-19,0.2250044479560349
2017-05-22,0.219143484502734
2017-05-23,0.21358299370502323
2017-05-24,0.20793351245049463
2017-05-25,0.21205282643718756
2017-05-26,0.20626221563825012
2017-05-30,0.21446225122384593
2017-05-31,0.20879226709818544
2017-06-01,0.20536177833277547
2017-06-02,0.20238659046488233
2017-06-05,0.19721429562787787
2017-06-06,0.19286272734771748
2017-06-07,0.1912666086905919
2017-06-08,0.18682879542511643
2017-06-09,0.1849487128908985
2017-06-12,0.1863400150262954
2017-06-13,0.1823996151311729
2017-06-14,0.17868689039770097
2017-06-15,0.17881208012883246
2017-06-16,0.1752537759935574
2017-06-19,0.177299208120059
2017-06-20,0.19544330226436515
2017-06-21,0.19163325598653277
2017-06-22,0.1872969941029487
2017-06-23,0.18315405646613456
2017-06-26,0.17928013052204084
2017-06-27,0.175950641942563
2017-06-28,0.1737503864743903
2017-06-29,0.17082858777148513
2017-06-30,0.16808600298656637
2017-07-03,0.1657138956153044
2017-07-05,0.16366317362192387
2017-07-06,0.1614517054725654
2017-07-07,0.1683316975498079
2017-07-10,0.16875639721207605
2017-07-11,0.17231425477887777
2017-07-12,0.17752157728005913
2017-07-13,0.17533004078023823
2017-07-14,0.17201873386349523
2017-07-17,0.16892811133733784
2017-07-18,0.17190127748216416
2017-07-19,0.1730822278571662
2017-07-20,0.19195588555707271
2017-07-21,0.19081831987521533
2017-07-24,0.19249541085438893
2017-07-25,0.19393919459459455
2017-07-26,0.18964383670449195
2017-07-27,0.23569709968516797
2017-07-28,0.22880084090754563
2017-07-31,0.22829071203183016
2017-08-01,0.2231867738016749
2017-08-02,0.21741777204267365
2017-08-03,0.21137829689918497
2017-08-04,0.2074339017615009
2017-08-07,0.20343743903224895
2017-08-08,0.20218402904284996
2017-08-09,0.20005029367636532
2017-08-10,0.20983835778999033
2017-08-11,0.20427167204485305
2017-08-14,0.201675735774039
2017-08-15,0.1965419222456115
2017-08-16,0.1917532132716425
2017-08-17,0.2610774574719158
2017-08-18,0.2527314883428656
2017-08-21,0.24498300512484533
2017-08-22,0.23837559774440004
2017-08-23,0.25208258646721315
2017-08-24,0.25438040726439604
2017-08-25,0.2577711170786984
2017-08-28,0.25290029181477824
2017-08-29,0.2448133746346388
2017-08-30,0.2372464187295564
2017-08-31,0.23052250649340078
2017-09-01,0.22440479674017666
2017-09-05,0.24883573376828338
2017-09-06,0.24152248590969744
2017-09-07,0.23485158121673355
2017-09-08,0.22783685215522093
2017-09-11,0.23052332636850442
2017-09-12,0.22489180598679004
2017-09-13,0.2185939907682734
2017-09-14,0.21337257836938656
2017-09-15,0.20980791214823144
2017-09-18,0.20972970605043056
2017-09-19,0.2047543845684385
2017-09-20,0.20146138984927114
2017-09-21,0.1967277489323761
2017-09-22,0.19224972821827344
2017-09-25,0.1877402684561839
2017-09-26,0.18393814938723288
2017-09-27,0.1800283277709372
2017-09-28,0.17636121002079794
2017-09-29,0.17297977107164872
2017-10-02,0.1699748428444633
2017-10-03,0.20069616139826893
2017-10-04,0.19569630757886056
2017-10-05,0.19095482397677205
2017-10-06,0.1869512963314242
2017-10-09,0.18869508737643384
2017-10-10,0.19104869641010377
2017-10-11,0.18702117420228118
2017-10-12,0.18324924338179407
2017-10-13,0.17959169691274707
2017-10-16,0.17880094630622065
2017-10-17,0.17526549460746688
2017-10-18,0.17206919422139458
2017-10-19,0.2161913319261436
2017-10-20,0.2118588530130379
2017-10-23,0.2199300634292638
2017-10-24,0.2145557633809915
2017-10-25,0.23383166252669893
2017-10-26,0.24004187634660748
2017-10-27,0.23507755741456904
2017-10-30,0.22821530623514277
2017-10-31,0.22160176172584908
2017-11-01,0.21564021702827144
2017-11-02,0.21177152783129274
2017-11-03,0.20599906698817838
2017-11-06,0.2013810060556854
2017-11-07,0.21743596850567298
2017-11-08,0.21142544217761494
2017-11-09,0.21005585257259557
2017-11-10,0.20511006801227483
2017-11-13,0.2042862286107412
2017-11-14,0.199265483212723
2017-11-15,0.19779579469746064
2017-11-16,0.19995295946797087
2017-11-17,0.1993201083684233
2017-11-20,0.19448053887214525
2017-11-21,0.1960657889587064
2017-11-22,0.19130850164067462
2017-11-24,0.1870708208139367
2017-11-27,0.18437569471055562
2017-11-28,0.18545671947923592
2017-11-29,0.19505713932076418
2017-11-30,0.19701767230378092
2017-12-01,0.20811007568111642
2017-12-04,0.20881175828961357
2017-12-05,0.21419482346686158
2017-12-06,0.20943662430434654
2017-12-07,0.20999753998559126
2017-12-08,0.20479499505603158
2017-12-11,0.19950536834882415
2017-12-12,0.19862022857705103
2017-12-13,0.19371446719334104
2017-12-14,0.18930149286257625
2017-12-15,0.18714146200134274
2017-12-18,0.18570250079091558
2017-12-19,0.18193134859061538
2017-12-20,0.17946522560095032
2017-12-21,0.17810752145824724
2017-12-22,0.17475115106917036
2017-12-26,0.1717003972039669
2017-12-27,0.17118233436894123
2017-12-28,0.16816978920127124
2017-12-29,0.1676624609147796
2018-01-02,0.1699679487432851
2018-01-03,0.1793241210768925
2018-01-04,0.17574600194599022
2018-01-05,0.17238904257521706
2018-01-08,0.17459685564178984
2018-01-09,0.17512395609967246
2018-01-10,0.1807042722239848
2018-01-11,0.20126785138218176
2018-01-12,0.20183561231854005
2018-01-16,0.20680060831632
2018-01-17,0.201376751389032
2018-01-18,0.19716062081460387
2018-01-19,0.19232239807157148
2018-01-22,0.18786700402146195
2018-01-23,0.1843620948025922
2018-01-24,0.29183882812264716
2018-01-25,0.3079497413540073
2018-01-26,0.2978718476123583
2018-01-29,0.28712377331039657
2018-01-30,0.27694201631388476
2018-01-31,0.2690372702805319
2018-02-01,0.25989434776462533
2018-02-02,0.2903626711545408
2018-02-05,0.3361267635877869
2018-02-06,0.32608812673876986
2018-02-07,0.3148059802481522
2018-02-08,0.36712894410547364
2018-02-09,0.3527156327695159
2018-02-12,0.3443096222878472
2018-02-13,0.3315610532013674
2018-02-14,0.3200488581451276
2018-02-15,0.3099215829851158
2018-02-16,0.29855049824108487
2018-02-20,0.2896791487145735
2018-02-21,0.2811626312296853
2018-02-22,0.27230477630772476
2018-02-23,0.26402761900983013
2018-02-26,0.26462138008860886
2018-02-27,0.2763117587074427
2018-02-28,0.2675791808044864
