,"Delta Air Lines Inc - GJR-GARCH Volatility"
2016-02-29,0.3748469831811375
2016-03-01,0.36748995414840935
2016-03-02,0.3608166686836959
2016-03-03,0.3530407392922239
2016-03-04,0.34556189373251217
2016-03-07,0.3391611174648415
2016-03-08,0.3912474311736756
2016-03-09,0.38299677387675213
2016-03-10,0.37451587629898947
2016-03-11,0.3673211221805792
2016-03-14,0.35928781053634423
2016-03-15,0.35163507674860883
2016-03-16,0.34660478415624907
2016-03-17,0.3394490229769413
2016-03-18,0.3373639192326293
2016-03-21,0.3302503940951471
2016-03-22,0.3300648045460164
2016-03-23,0.3261836691191023
2016-03-24,0.33467280379499015
2016-03-28,0.3279876552554989
2016-03-29,0.3234912338843203
2016-03-30,0.31694932844226065
2016-03-31,0.3162456570452786
2016-04-01,0.34758006214396125
2016-04-04,0.3401604791859278
2016-04-05,0.33294012975308335
2016-04-06,0.3259707950108415
2016-04-07,0.3469692458994025
2016-04-08,0.3401965555381183
2016-04-11,0.3331666663998666
2016-04-12,0.32620309869772857
2016-04-13,0.3250689145396711
2016-04-14,0.3189217076337075
2016-04-15,0.3260222391187448
2016-04-18,0.332029325813248
2016-04-19,0.32537928084006823
2016-04-20,0.3197328841392452
2016-04-21,0.3519985539743026
2016-04-22,0.3461733733261413
2016-04-25,0.3459762951417337
2016-04-26,0.3403757694078708
2016-04-27,0.33318024311174277
2016-04-28,0.33748065011197315
2016-04-29,0.3539665001098268
2016-05-02,0.3471154171165551
2016-05-03,0.3415125789777003
2016-05-04,0.37032181788277074
2016-05-05,0.3624236714123403
2016-05-06,0.354727449177534
2016-05-09,0.34782010350179593
2016-05-10,0.3413313041606351
2016-05-11,0.3410883216998202
2016-05-12,0.3594225568881286
2016-05-13,0.3525028033931078
2016-05-16,0.3512740929815349
2016-05-17,0.3450859510324928
2016-05-18,0.33781210102659137
2016-05-19,0.3399587292598912
2016-05-20,0.3327449834332593
2016-05-23,0.32615334430295206
2016-05-24,0.3209772104059726
2016-05-25,0.3147012183007876
2016-05-26,0.3179409511214307
2016-05-27,0.3119442584821846
2016-05-31,0.30611209123456723
2016-06-01,0.3000833344256225
2016-06-02,0.3146000661156955
2016-06-03,0.3224506455257921
2016-06-06,0.3174091076198035
2016-06-07,0.3134906639758192
2016-06-08,0.3083598534180479
2016-06-09,0.30338772025248484
2016-06-10,0.29993512098452224
2016-06-13,0.3350927752130744
2016-06-14,0.3674126639080368
2016-06-15,0.36017229377063414
2016-06-16,0.36679375567203976
2016-06-17,0.35868077283289107
2016-06-20,0.3508615316617084
2016-06-21,0.34462986231607967
2016-06-22,0.33755012427786185
2016-06-23,0.33161174406223914
2016-06-24,0.5034006436229497
2016-06-27,0.5463031466136727
2016-06-28,0.5381912373868605
2016-06-29,0.5322424447561468
2016-06-30,0.5190313516542137
2016-07-01,0.5064614891578628
2016-07-05,0.5143196010264435
2016-07-06,0.5015708460427101
2016-07-07,0.49118402946349954
2016-07-08,0.4822301081434049
2016-07-11,0.47214546699084176
2016-07-12,0.4730790318752249
2016-07-13,0.46737621890720965
2016-07-14,0.46155608673269605
2016-07-15,0.4639908197367702
2016-07-18,0.45280524820280077
2016-07-19,0.44245084201524576
2016-07-20,0.43338284506888364
2016-07-21,0.46537280668298614
2016-07-22,0.4546836777365117
2016-07-25,0.4437477256279744
2016-07-26,0.43316959588595316
2016-07-27,0.42675017609838195
2016-07-28,0.41885489898054196
2016-07-29,0.41507916305206166
2016-08-01,0.4071400923515148
2016-08-02,0.5417369730782643
2016-08-03,0.5281549204542167
2016-08-04,0.514970601102626
2016-08-05,0.5059208396577473
2016-08-08,0.4941789627250436
2016-08-09,0.4832910948900259
2016-08-10,0.4749194853867338
2016-08-11,0.46351355708328534
2016-08-12,0.4543630249040959
2016-08-15,0.44454291131453216
2016-08-16,0.43392597755838497
2016-08-17,0.4247675114695096
2016-08-18,0.4181704853286516
2016-08-19,0.4100299647586747
2016-08-22,0.4009928966951909
2016-08-23,0.3917852983459181
2016-08-24,0.3828755238977806
2016-08-25,0.37605308614609184
2016-08-26,0.3706544617295197
2016-08-29,0.36330912127278064
2016-08-30,0.35687546063017556
2016-08-31,0.3526566137193517
2016-09-01,0.3450346469559253
2016-09-02,0.33818704469568317
2016-09-06,0.3337731834644599
2016-09-07,0.3450679863447202
2016-09-08,0.3382789836806301
2016-09-09,0.377095384219961
2016-09-12,0.3704455781892936
2016-09-13,0.3780033999847091
2016-09-14,0.37282294779157577
2016-09-15,0.3646258350693214
2016-09-16,0.3621775840661595
2016-09-19,0.3568629619335691
2016-09-20,0.34909403546895496
2016-09-21,0.3423025030583329
2016-09-22,0.33584568956590766
2016-09-23,0.3290973855866983
2016-09-26,0.33376495382229693
2016-09-27,0.3324305022106125
2016-09-28,0.325475728127306
2016-09-29,0.31959579408997235
2016-09-30,0.3135437136987441
2016-10-03,0.3088568581074411
2016-10-04,0.3028435081027823
2016-10-05,0.29704356044189884
2016-10-06,0.2944432373140874
2016-10-07,0.31022992312154546
2016-10-10,0.30694008535869016
2016-10-11,0.31557978642492296
2016-10-12,0.30967600811170376
2016-10-13,0.3058368035407119
2016-10-14,0.2998126394934009
2016-10-17,0.30427754632900533
2016-10-18,0.2983588731712198
2016-10-19,0.30139077424499905
2016-10-20,0.29679284897045616
2016-10-21,0.29280761055682963
2016-10-24,0.287414091512577
2016-10-25,0.2825951337160639
2016-10-26,0.277563761323412
2016-10-27,0.2725839753176991
2016-10-28,0.26814106735075105
2016-10-31,0.26431765888793735
2016-11-01,0.25986942721297557
2016-11-02,0.25554974858136725
2016-11-03,0.25138775626509735
2016-11-04,0.25156647709899665
2016-11-07,0.2551075890678284
2016-11-08,0.2520775380711261
2016-11-09,0.2501484479264263
2016-11-10,0.24813465537888899
2016-11-11,0.24498223364154392
2016-11-14,0.24574332951272554
2016-11-15,0.24208608881965937
2016-11-16,0.2398285637700397
2016-11-17,0.24102067214245337
2016-11-18,0.23798021094200247
2016-11-21,0.23604304268501541
2016-11-22,0.23296385213161291
2016-11-23,0.23005464742099868
2016-11-25,0.22691602587741574
2016-11-28,0.2343582257997359
2016-11-29,0.23107662365544465
2016-11-30,0.23107815041669344
2016-12-01,0.23113387030030885
2016-12-02,0.22907261381492114
2016-12-05,0.23061524320824933
2016-12-06,0.2370589217894994
2016-12-07,0.24305157230513857
2016-12-08,0.2395829827011927
2016-12-09,0.23664940904215248
2016-12-12,0.2831464462076118
2016-12-13,0.27935119831495264
2016-12-14,0.2743604563343632
